,HJD,JD,ST,Airmass
0,2456271.73341416,2456271.72913508,3.406972,1.584051
1,2456271.73976282,2456271.73548345,3.559611,1.536535
2,2456271.74611159,2456271.74183194,3.712528,1.492552
3,2456271.75564094,2456271.75136086,3.941765,1.432735
4,2456271.76516428,2456271.76088378,4.171002,1.379473
5,2456271.77627288,2456271.77199188,4.438399,1.324633
6,2456271.78420996,2456271.77992859,4.629199,1.28978
7,2456271.79373366,2456271.78945187,4.858435,1.252134
8,2456271.80484315,2456271.80056086,5.125832,1.213492
9,2456271.82388638,2456271.81960323,5.584027,1.158881
10,2456271.83975802,2456271.83547416,5.965903,1.123159
11,2456271.85404375,2456271.84975925,6.309898,1.097704
12,2456271.86674106,2456271.86245599,6.615455,1.079973
13,2456271.88007492,2456271.87578925,6.93633,1.06596
14,2456271.88959722,2456271.88531113,7.165289,1.058711
15,2456271.89594644,2456271.89166007,7.318207,1.055106
16,2456271.90387958,2456271.89959285,7.509006,1.051972
17,2456271.9165776,2456271.91229031,7.814562,1.050066
18,2456271.92768954,2456271.92340174,8.08196,1.051526
19,2456271.93721368,2456271.93292546,8.311196,1.055114
20,2456271.9435607,2456271.9392722,8.464113,1.058722
